"Genes, NCBI Chrysemys picta Annotation Release 103, 2021-08-10"
Accession,Start,Stop,Gene symbol,Strand,NCBI Gene ID,Name
NW_024885847.1,1725,6731,KDELR1,plus,101938357,
NW_024885847.1,7471,24882,TMEM143,plus,101938088,
NW_024885847.1,9038,17963,SYNGR4,minus,101942806,
NW_024885847.1,25157,32399,EMP3,minus,101937614,
NW_024885847.1,36147,48969,ODAD1,plus,101942528,
NW_024885847.1,51975,58295,MYADM,plus,101937335,
NW_024885847.1,64371,76939,LOC101942255,minus,101942255,
NW_024885847.1,77199,97311,PRKCG,plus,101937053,
NW_024885847.1,105030,116007,CACNG7,plus,101936783,
NW_024885847.1,125146,136002,CACNG8,plus,101941998,
NW_024885847.1,142432,152509,CACNG6,plus,101936515,
NW_024885847.1,177239,181287,LOC101941738,plus,101941738,
NW_024885847.1,199686,203840,LOC122172466,plus,122172466,
NW_024885847.1,208843,217832,LOC122172467,plus,122172467,
NW_024885847.1,243012,254085,LOC101941175,plus,101941175,
