"Genes, NCBI Mus musculus Annotation Release 109, 2020-09-22"
Accession,Start,Stop,Gene symbol,Strand,NCBI Gene ID,Name
NC_000077.7,3074002,3081945,Pisd-ps1,plus,236604,"phosphatidylserine decarboxylase, pseudogene 1"
NC_000077.7,3081850,3153344,Sfi1,minus,78887,"Sfi1 homolog, spindle assembly associated (yeast)"
NC_000077.7,3087076,3089825,Gm33862,plus,102636923,
NC_000077.7,3099476,3101017,Gm11400,minus,102636815,predicted gene 11400
NC_000077.7,3146390,3146727,Fau-ps2,minus,14111,"Finkel-Biskis-Reilly murine sarcoma virus (FBR-MuSV) ubiquitously expressed (fox derived), pseudogene 2"
NC_000077.7,3151544,3153218,Gm51877,minus,115487746,
NC_000077.7,3152344,3194588,Eif4enif1,plus,74203,eukaryotic translation initiation factor 4E nuclear import factor 1
NC_000077.7,3199907,3221882,Drg1,minus,13494,developmentally regulated GTP binding protein 1
NC_000077.7,3239131,3259083,Patz1,plus,56218,POZ (BTB) and AT hook containing zinc finger 1
NC_000077.7,3255420,3281190,Gm12592,minus,791413,predicted gene 12592
NC_000077.7,3259000,3270722,Gm11944,plus,100302648,predicted gene 11944
NC_000077.7,3280731,3292971,Pik3ip1,plus,216505,phosphoinositide-3-kinase interacting protein 1
NC_000077.7,3293297,3359249,Limk2,minus,16886,LIM motif-containing protein kinase 2
NC_000077.7,3357510,3361551,Gm51879,plus,115487751,
NC_000077.7,3365973,3402956,Rnf185,minus,193670,ring finger protein 185
NC_000077.7,3402437,3429831,8430429K09Rik,plus,71523,RIKEN cDNA 8430429K09 gene
NC_000077.7,3410794,3423932,LOC118567888,minus,118567888,
NC_000077.7,3420819,3421376,Gm11945,minus,108167876,
NC_000077.7,3438158,3449346,Pla2g3,plus,237625,"phospholipase A2, group III"
NC_000077.7,3444272,3455521,Inpp5j,minus,170835,inositol polyphosphate 5-phosphatase J
NC_000077.7,3464684,3467351,Selenom,plus,114679,selenoprotein M
NC_000077.7,3467522,3489337,Smtn,minus,29856,smoothelin
NC_000077.7,3481518,3496570,Gm11946,plus,102637250,
NC_000077.7,3506594,3516209,Gm34488,minus,102637758,
NC_000077.7,3519853,3523255,Gm39567,minus,105243797,
NC_000077.7,3575235,3575906,Gm11949,minus,382473,predicted gene 11949
NC_000077.7,3582974,3588396,Gm11951,minus,100504679,
NC_000077.7,3589785,3598814,Tug1,minus,544752,taurine upregulated gene 1
NC_000077.7,3599132,3640477,Morc2a,plus,74522,microrchidia 2A
NC_000077.7,3647791,3648326,Gm16518,minus,664900,"predicted gene, 16518"
NC_000077.7,3653731,3814000,Osbp2,minus,74309,oxysterol binding protein 2
NC_000077.7,3691484,3707631,Gm51881,plus,115487754,
NC_000077.7,3725210,3731151,Gm51882,plus,115487755,
NC_000077.7,3738892,3738990,Gm24013,plus,115485851,
NC_000077.7,3754224,3757363,Gm51880,plus,115487753,
NC_000077.7,3822970,3824612,Gm11952,plus,664920,predicted gene 11952
NC_000077.7,3836087,3845308,4921536K21Rik,minus,67430,RIKEN cDNA 4921536K21 gene
NC_000077.7,3844940,3851299,Dusp18,plus,75219,dual specificity phosphatase 18
NC_000077.7,3857022,3864664,Slc35e4,minus,103710,"solute carrier family 35, member E4"
NC_000077.7,3867077,3882078,Tcn2,minus,21452,transcobalamin 2
NC_000077.7,3901696,3902902,Gm11953,plus,100041720,predicted gene 11953
NC_000077.7,3913975,3930004,Pes1,plus,64934,pescadillo ribosomal biogenesis factor 1
NC_000077.7,3933636,3949328,Gal3st1,plus,53897,galactose-3-O-sulfotransferase 1
NC_000077.7,3935165,3938759,Gm46265,plus,108167878,
NC_000077.7,3952424,3953021,Gm11954,plus,108167877,
NC_000077.7,3981377,3998426,Sec14l4,plus,103655,SEC14-like lipid binding 4
NC_000077.7,4014853,4028990,Sec14l3,plus,380683,SEC14-like lipid binding 3
NC_000077.7,4035433,4044742,Gm51935,plus,115487831,
