"Genes, NCBI Callorhinchus milii Annotation Release 101, 2021-07-11",,,,,,
Accession,Start,Stop,Gene symbol,Strand,NCBI Gene ID,Name
NW_024704757.1,2933,43537,LOC103191011,minus,103191011,
NW_024704757.1,72232,81228,LOC121850260,plus,121850260,
NW_024704757.1,80207,89571,LOC103189893,plus,103189893,
NW_024704757.1,90248,107710,tekt4,minus,103189896,
NW_024704757.1,113407,115660,LOC103189892,plus,103189892,
NW_024704757.1,119668,185460,LOC103189891,plus,103189891,
NW_024704757.1,191591,198967,nthl1,minus,103189895,
NW_024704757.1,206784,256047,tsc2,plus,103189890,
NW_024704757.1,259718,337509,pkd1a,minus,103189894,
NW_024704757.1,382834,518280,LOC103187105,plus,103187105,
NW_024704757.1,530101,538696,LOC103187104,minus,103187104,
NW_024704757.1,531203,531290,LOC121850288,minus,121850288,
NW_024704757.1,531845,531929,LOC121850289,minus,121850289,
NW_024704757.1,532420,532507,LOC121850286,minus,121850286,
NW_024704757.1,533566,533653,LOC121850290,minus,121850290,
NW_024704757.1,539019,587104,traf7,plus,103187103,
NW_024704757.1,598031,890697,caskin1,minus,103187102,
NW_024704757.1,942869,967944,prpsap2,plus,103187098,
NW_024704757.1,972972,1029271,slc5a10,plus,103187100,solute carrier family 5 member 10
NW_024704757.1,992614,1009135,LOC103187099,minus,103187099,
NW_024704757.1,1030729,1052414,LOC103187097,minus,103187097,
NW_024704757.1,1066621,1068942,LOC103187096,plus,103187096,
NW_024704757.1,1077904,1077975,trnaa-cgc,plus,121850292,
NW_024704757.1,1098460,1123496,epn2,plus,103187094,
NW_024704757.1,1105765,1105836,trnaa-ugc,plus,121850303,
NW_024704757.1,1123289,1125621,b9d1,minus,103187107,
NW_024704757.1,1138980,1280506,cacna1ha,minus,103187106,
NW_024704757.1,1263276,1263347,trnaa-ugc,minus,121850307,
NW_024704757.1,1543665,1561624,cops3,minus,103187093,
NW_024704757.1,1567089,1575360,LOC103187091,plus,103187091,
NW_024704757.1,1576922,1590970,LOC103187092,minus,103187092,
NW_024704757.1,1598130,1663635,parn,plus,103187090,
NW_024704757.1,1693144,1698563,eri2,plus,103188274,
NW_024704757.1,1698880,1712435,acsm3,minus,103188271,
NW_024704757.1,1715610,1720219,thumpd1,plus,103188270,
NW_024704757.1,1921451,1993335,axin1,plus,103188268,
NW_024704757.1,1995799,2039595,LOC103188267,plus,103188267,
NW_024704757.1,2043277,2059398,LOC103188266,plus,103188266,
NW_024704757.1,2064089,2227701,septin-9,minus,103188264,
NW_024704757.1,2248393,2249651,LOC103188263,plus,103188263,
NW_024704757.1,2255562,2335487,LOC103188273,minus,103188273,
NW_024704757.1,2397129,2419642,ccdc78,minus,103188262,
NW_024704757.1,2438699,2443681,igfals,plus,103188261,
NW_024704757.1,2445962,2455799,nubp2,minus,103188257,
NW_024704757.1,2456206,2474289,LOC103188258,plus,103188258,
NW_024704757.1,2483668,2493127,LOC103188260,minus,103188260,
NW_024704757.1,2500244,2503239,LOC121850281,minus,121850281,
NW_024704757.1,2514871,2545222,zc3h7a,plus,103186078,
NW_024704757.1,2550103,2580909,txndc11,plus,103186077,
NW_024704757.1,2580684,2593428,snn,minus,103186076,
NW_024704757.1,2603049,2635951,usp7,minus,103186075,
NW_024704757.1,2678519,2699871,cunh16orf72,plus,103186085,
NW_024704757.1,3010667,3114641,grin2aa,minus,103186084,
NW_024704757.1,3012571,3012885,LOC103186073,plus,103186073,
NW_024704757.1,3169663,3201330,atf7ip2,plus,103186083,
NW_024704757.1,3212663,3233959,emp2,minus,103186070,
NW_024704757.1,3252288,3272422,LOC103186069,minus,103186069,
NW_024704757.1,3279392,3308132,nubp1,plus,103186067,"nucleotide binding protein 1 (MinD homolog, E. coli)"
NW_024704757.1,3308006,3328816,LOC103186068,minus,103186068,
NW_024704757.1,3337883,3387239,ciita,plus,103186082,
NW_024704757.1,3406180,3407949,dexi,minus,121850273,
NW_024704757.1,3407398,3518046,clec16a,plus,103186066,
NW_024704757.1,3536337,3539863,socs1a,minus,103186065,
NW_024704757.1,3562607,3562678,trnal-cag,plus,121850315,
NW_024704757.1,3568153,3575232,rmi2,plus,103186064,
NW_024704757.1,3579619,3620726,si:dkeyp-72e1.9,minus,103186063,
NW_024704757.1,3615317,3615390,trnat-cgu,plus,121850324,
NW_024704757.1,3641368,3670202,ppl,plus,103186062,
NW_024704757.1,3670681,3709941,LOC103186061,minus,103186061,
NW_024704757.1,3710209,3734548,glyr1,plus,103186060,
NW_024704757.1,3736355,3753756,rogdi,plus,103186059,
NW_024704757.1,3754750,3760716,smim22,minus,103186058,small integral membrane protein 22
NW_024704757.1,3794871,3799625,galr2b,minus,103186057,
NW_024704757.1,3818479,3830879,wdr24,plus,103186055,
NW_024704757.1,3835591,3860729,cramp1,minus,103186081,
NW_024704757.1,3875917,3905139,fbxl16,minus,103186054,
NW_024704757.1,3946075,3959710,stub1,minus,103186053,
NW_024704757.1,3965823,4009981,rhbdl1,minus,103186052,
NW_024704757.1,4019838,4026251,nme3,plus,103186051,
NW_024704757.1,4028301,4079049,mapk8ip3,minus,103186050,
NW_024704757.1,4085694,4096224,LOC103186049,minus,103186049,small ubiquitin-related modifier 3-like
NW_024704757.1,4112745,4120466,tdrd5,minus,103185157,
NW_024704757.1,4121527,4124148,nhp2,minus,103185118,NHP2 ribonucleoprotein homolog (yeast)
NW_024704757.1,4125439,4178225,brd8a,minus,103185119,
NW_024704757.1,4178844,4222152,cfap70,plus,103185121,
NW_024704757.1,4223878,4266459,wdr90,plus,103185124,
NW_024704757.1,4266656,4280719,ap5z1,minus,103185123,
NW_024704757.1,4293251,4335971,foxk1,minus,103185122,
NW_024704757.1,4338191,4374586,LOC103185125,plus,103185125,cytochrome P450 3A8-like
NW_024704757.1,4379858,4397301,LOC103185126,plus,103185126,
NW_024704757.1,4405953,4418720,LOC103172641,plus,103172641,
NW_024704757.1,4426862,4732078,sdk1a,minus,103185127,
NW_024704757.1,4778933,4845752,card11,plus,103185130,
NW_024704757.1,4862147,4908595,gna12a,plus,103185131,
NW_024704757.1,4918765,4927307,dhrs7b,plus,103185132,dehydrogenase/reductase (SDR family) member 7B
NW_024704757.1,4930363,4937403,tmem11,minus,103185133,
NW_024704757.1,4938300,4949967,smcr8a,minus,103185159,
NW_024704757.1,4950730,5050953,LOC103185138,plus,103185138,
NW_024704757.1,4964453,4965778,LOC121850270,minus,121850270,
NW_024704757.1,4976802,4981015,LOC121850271,minus,121850271,
NW_024704757.1,4992284,4993860,LOC103185137,minus,103185137,
NW_024704757.1,5004597,5008732,LOC103185135,minus,103185135,
NW_024704757.1,5021047,5039924,gpr146,minus,103185134,
NW_024704757.1,5076740,5084057,LOC103185160,plus,103185160,
NW_024704757.1,5128434,5132030,LOC103185161,minus,103185161,
NW_024704757.1,5200414,5208155,sox8a,minus,103185140,
NW_024704757.1,5226342,5428776,lmf1,plus,103185141,
NW_024704757.1,5425066,5425137,trnaa-ggc,minus,121850308,
NW_024704757.1,5531119,5550007,kcnj12a,minus,103185142,
NW_024704757.1,5604541,5604614,trnag-ccc,plus,121850325,
NW_024704757.1,5619846,5664435,map2k6,minus,103185143,
NW_024704757.1,5675249,5692120,natd1,plus,103186592,
NW_024704757.1,5694470,5698309,LOC121848071,minus,121848071,
NW_024704757.1,5698801,5708631,shmt1,plus,103191185,
NW_024704757.1,5708718,5714496,zfand2a,minus,121850274,
NW_024704757.1,5718791,5728164,LOC103191184,plus,103191184,
NW_024704757.1,5746497,5753200,uncx,plus,103186593,
NW_024704757.1,5852340,5869332,LOC103186642,minus,103186642,
NW_024704757.1,5873654,5880422,si:dkey-43p13.5,minus,103186643,
NW_024704757.1,5891638,5928288,ints1,minus,103186595,
NW_024704757.1,5929220,5930980,LOC103186596,plus,103186596,
NW_024704757.1,5931996,5948015,gaa2,minus,103186597,
NW_024704757.1,5952234,5972783,mafk,minus,103186598,
NW_024704757.1,5972099,5973722,mettl4,plus,121850258,
NW_024704757.1,5975962,5992524,tmem184a,minus,103186600,
NW_024704757.1,5994775,5998089,psmg3,minus,103186601,
NW_024704757.1,6018847,6103455,LOC103186603,plus,103186603,
NW_024704757.1,6066368,6066441,trnas-cga,minus,121850309,
NW_024704757.1,6103536,6106025,LOC103186602,plus,103186602,
NW_024704757.1,6118185,6121102,LOC103186604,plus,103186604,
NW_024704757.1,6140161,6477944,mad1l1,minus,103186608,
NW_024704757.1,6478799,6483781,mrm2,minus,103186607,
NW_024704757.1,6482712,6484097,nudt1,plus,103186606,
NW_024704757.1,6485612,6486485,LOC103186609,plus,103186609,
NW_024704757.1,6490057,6503455,snx8a,minus,103186610,
NW_024704757.1,6499325,6523528,iqce,plus,103186645,
NW_024704757.1,6529743,6554811,LOC103186646,plus,103186646,
NW_024704757.1,6555132,6577074,srebf1,minus,103186611,
