"Genes, NCBI Danio rerio Annotation Release 106, 2017-06-26"
Accession,Start,Stop,Gene symbol,Strand,NCBI Gene ID,Name
NC_007123.7,9059,11570,shisa6,minus,796884,shisa family member 6
NC_007123.7,32369,42214,foxk2,minus,324141,forkhead box K2
NC_007123.7,40351,46985,wdr45b,minus,393210,WD repeat domain 45B
NC_007123.7,47082,47154,trnar-ccu,plus,108191806,
NC_007123.7,47439,49920,ict1,plus,100149182,immature colon carcinoma transcript 1
NC_007123.7,49937,54599,si:ch1073-357b18.4,minus,797129,si:ch1073-357b18.4
NC_007123.7,50139,50210,trnam-cau,minus,108191923,
NC_007123.7,50384,50456,trnar-ucg,minus,108191812,
NC_007123.7,63920,66225,LOC100331510,minus,100331510,
NC_007123.7,137149,145076,dnah9,minus,266676,"dynein, axonemal, heavy chain 9"
NC_007123.7,149211,179064,myocd,minus,100331725,
NC_007123.7,171286,175625,LOC101885908,minus,101885908,
NC_007123.7,197622,201707,gas7b,plus,100333627,
NC_007123.7,203608,232923,LOC100333572,minus,100333572,
NC_007123.7,213604,214333,LOC103910607,minus,103910607,
NC_007123.7,280137,287821,map2k4b,minus,568951,mitogen-activated protein kinase kinase 4b
NC_007123.7,288105,291317,adprm,minus,393393,"ADP-ribose/CDP-alcohol diphosphatase, manganese-dependent"
NC_007123.7,293875,299638,LOC100535838,plus,100535838,
NC_007123.7,300534,310890,LOC108191687,minus,108191687,
NC_007123.7,311947,314992,pts,minus,100073330,6-pyruvoyltetrahydropterin synthase
NC_007123.7,316238,319392,rcvrnb,plus,792903,recoverin b
NC_007123.7,321387,334986,glp2r,minus,101885514,
NC_007123.7,390012,408659,gsg1l2b,plus,100002460,
NC_007123.7,415804,431149,hs3st3l,minus,100008592,heparan sulfate (glucosamine) 3-O-sulfotransferase 3-like
NC_007123.7,452891,464066,dhrs7cb,minus,553684,dehydrogenase/reductase (SDR family) member 7Cb
NC_007123.7,465645,528026,mprip,plus,558831,
NC_007123.7,531929,540953,si:dkey-94l16.4,plus,101885814,
NC_007123.7,549600,558259,bsk146,minus,405767,brain specific kinase 146
NC_007123.7,560509,628491,wu:fj29h11,minus,335618,
NC_007123.7,630295,645972,sult2st1,minus,338214,"sulfotransferase family 2, cytosolic sulfotransferase 1"
NC_007123.7,638361,639950,LOC108191688,plus,108191688,
NC_007123.7,648374,656401,sult2st2,minus,777793,"sulfotransferase family 2, cytosolic sulfotransferase 2"
NC_007123.7,658186,687421,si:ch211-176g6.2,minus,572157,
NC_007123.7,695358,788154,abcc3,plus,323301,
NC_007123.7,804310,808591,wfikkn2b,plus,570642,
NC_007123.7,847187,850369,tob1b,minus,406245,"transducer of ERBB2, 1b"
NC_007123.7,898591,962275,spag9b,minus,100333761,
NC_007123.7,964503,980009,daglb,minus,565287,
NC_007123.7,982858,990058,kdelr2b,minus,325464,KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2b
NC_007123.7,992557,999816,mettl9,minus,768200,methyltransferase like 9
NC_007123.7,1000340,1010521,si:ch1073-272o11.3,plus,101886304,
NC_007123.7,1014418,1034460,polr3e,minus,336518,polymerase (RNA) III (DNA directed) polypeptide E
NC_007123.7,1037728,1054354,LOC100332293,minus,100332293,
NC_007123.7,1056975,1067070,LOC101885454,plus,101885454,
NC_007123.7,1072485,1085503,sox8a,minus,102216265,SRY (sex determining region Y)-box 8a
NC_007123.7,1087095,1132970,lmf1,plus,100333693,
NC_007123.7,1187425,1242820,rab26,plus,101885743,
NC_007123.7,1286531,1388444,pemt,plus,393127,phosphatidylethanolamine N-methyltransferase
NC_007123.7,1301002,1301625,LOC101885815,minus,101885815,
NC_007123.7,1339150,1345921,LOC110440136,minus,110440136,
NC_007123.7,1349069,1359873,LOC110440160,minus,110440160,
NC_007123.7,1361265,1362102,LOC100535225,plus,100535225,
NC_007123.7,1367953,1372746,LOC795264,minus,795264,
NC_007123.7,1398404,1400006,rasd1,plus,393504,"RAS, dexamethasone-induced 1"
NC_007123.7,1403895,1406475,si:ch73-105m5.1,minus,100332528,
NC_007123.7,1455063,1468173,cops3,plus,335720,COP9 signalosome subunit 3
NC_007123.7,1468940,1526053,usp22,plus,692275,ubiquitin specific peptidase 22
NC_007123.7,1527678,1535850,tnfrsf13b,minus,103911891,
NC_007123.7,1555720,1563283,sstr2a,minus,100333578,
NC_007123.7,1581393,1584091,LOC100333697,minus,100333697,
NC_007123.7,1590818,1609974,slc39a11,plus,101882215,
NC_007123.7,1629133,1742269,LOC110440161,plus,110440161,
NC_007123.7,1947593,1951233,sox9a,minus,60641,SRY (sex determining region Y)-box 9a
NC_007123.7,2364767,2376319,LOC101886442,minus,101886442,
NC_007123.7,2386982,2392296,LOC110440137,plus,110440137,
NC_007123.7,2399045,2417424,vstm4b,plus,100142652,
NC_007123.7,2428071,2430802,lrrc18b,plus,568967,
NC_007123.7,2446683,2492820,si:dkey-191m6.4,plus,555573,
NC_007123.7,2499698,2522550,mapk8b,minus,65236,mitogen-activated protein kinase 8b
NC_007123.7,2525084,2579352,frmpd2,plus,571843,
NC_007123.7,2631804,2645640,gdf10b,plus,794493,growth differentiation factor 10b
NC_007123.7,2645515,2658674,LOC103911892,minus,103911892,
NC_007123.7,2648043,2651276,gdf2,plus,563287,growth differentiation factor 2
NC_007123.7,2660692,2670160,irbp,plus,30735,interphotoreceptor retinoid-binding protein
NC_007123.7,2677247,2740709,antxr1c,plus,563907,
NC_007123.7,2780402,2800809,ubtd1b,minus,571832,ubiquitin domain containing 1b
NC_007123.7,2804505,2850332,mms19,plus,563643,"MMS19 homolog, cytosolic iron-sulfur assembly component"
NC_007123.7,2850160,2869596,zdhhc16b,minus,393316,"zinc finger, DHHC-type containing 16b"
NC_007123.7,2870678,2895802,prkar1ab,plus,550427,"protein kinase, cAMP-dependent, regulatory, type I, alpha (tissue specific extinguisher 1) b"
NC_007123.7,2905023,2940572,fam20a,minus,564308,"family with sequence similarity 20, member A"
NC_007123.7,2969407,2992503,LOC103911894,minus,103911894,
NC_007123.7,2993495,3020627,lrrc45,plus,100329452,
NC_007123.7,3022872,3042029,rac3b,plus,795167,"ras-related C3 botulinum toxin substrate 3b (rho family, small GTP binding protein Rac3)"
NC_007123.7,3043303,3053879,dcxr,minus,550282,dicarbonyl/L-xylulose reductase
NC_007123.7,3058989,3077395,rfng,minus,414848,RFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase
NC_007123.7,3078160,3092539,sgca,plus,557170,
NC_007123.7,3095617,3133500,col1a1b,minus,325675,"collagen, type I, alpha 1b"
NC_007123.7,3220082,3237685,si:ch1073-13h15.3,minus,563241,
NC_007123.7,3249054,3252263,gngt2b,minus,797361,"guanine nucleotide binding protein (G protein), gamma transducing activity polypeptide 2b"
NC_007123.7,3262564,3273072,tmem101,plus,572154,transmembrane protein 101
NC_007123.7,3277247,3284913,LOC108191691,minus,108191691,
NC_007123.7,3287781,3299149,lsm12b,minus,406422,LSM12 homolog b
NC_007123.7,3301149,3310677,g6pc3,plus,790919,"glucose 6 phosphatase, catalytic, 3"
NC_007123.7,3312276,3543958,tanc2b,minus,335127,
NC_007123.7,3560116,3568948,cntd1,minus,100150347,
NC_007123.7,3571770,3574657,coa3a,plus,100141351,cytochrome C oxidase assembly factor 3a
NC_007123.7,3581533,3709090,wnk4a,minus,100330953,
NC_007123.7,3715686,3721989,vps25,minus,407684,vacuolar protein sorting 25 homolog (S. cerevisiae)
NC_007123.7,3723650,3732014,pagr1,plus,326076,PAXIP1 associated glutamate-rich protein 1
NC_007123.7,3740256,3756860,fam57bb,minus,558881,
NC_007123.7,3759209,3778967,si:ch211-166g5.4,minus,100150156,
NC_007123.7,3788955,3840695,taok2b,minus,100151551,
NC_007123.7,3848098,3861761,cabp5a,plus,393671,calcium binding protein 5a
NC_007123.7,3871464,3890193,nif3l1,plus,574421,NIF3 NGG1 interacting factor 3-like 1 (S. cerevisiae)
NC_007123.7,3892365,3904465,gdpd3b,minus,567286,
NC_007123.7,3912544,3923070,tbx6,plus,192294,T-box 6
NC_007123.7,3926502,3940795,zgc:92040,minus,436664,zgc:92040
NC_007123.7,3944224,3962401,eif3c,minus,334234,"eukaryotic translation initiation factor 3, subunit C"
NC_007123.7,3964351,3978308,ppp4cb,minus,562705,"protein phosphatase 4, catalytic subunit b"
NC_007123.7,3981629,3992621,si:ch211-136m16.8,minus,100000629,
NC_007123.7,3998899,4028118,si:ch211-180a12.2,minus,100150385,
NC_007123.7,4036409,4044132,zgc:123217,plus,641414,zgc:123217
NC_007123.7,4052180,4069833,aldoab,minus,406496,"aldolase a, fructose-bisphosphate, b"
NC_007123.7,4080019,4096839,LOC101882757,plus,101882757,
NC_007123.7,4114457,4143798,si:dkey-32n7.4,plus,101882585,
NC_007123.7,4147422,4169299,itgam,plus,563715,
NC_007123.7,4170027,4190164,si:dkey-32n7.7,minus,108191692,
NC_007123.7,4194068,4203461,LOC100333187,minus,100333187,
NC_007123.7,4217098,4220719,vkorc1,minus,100000559,"vitamin K epoxide reductase complex, subunit 1"
NC_007123.7,4222840,4238827,mapk7,plus,541323,mitogen-activated protein kinase 7
NC_007123.7,4241458,4248933,zgc:92313,minus,436869,zgc:92313
NC_007123.7,4260693,4279423,mmp25b,plus,100333601,
NC_007123.7,4294920,4301748,ca15b,minus,791844,carbonic anhydrase XVb
