"Genes, NCBI Chrysemys picta Annotation Release 103, 2021-08-10"
Accession,Start,Stop,Gene symbol,Strand,NCBI Gene ID,Name
NC_056657.1,15799,1185984,HS3ST4,minus,101939896,
NC_056657.1,82886,218944,UNKL,minus,101940173,
NC_056657.1,220036,267077,GNPTG,minus,101941540,
NC_056657.1,267062,276574,TSR3,plus,101941086,
NC_056657.1,289060,291538,LOC122173980,plus,122173980,
NC_056657.1,292747,326143,UBE2I,minus,101942344,
NC_056657.1,339634,479913,PDPK1,minus,101943277,
NC_056657.1,523614,554406,IL21R,minus,101943915,
NC_056657.1,575961,601527,IL4R,minus,101942260,
NC_056657.1,603007,629814,NSMCE1,plus,101945077,
NC_056657.1,621647,621769,LOC112059070,plus,112059070,
NC_056657.1,630326,647865,KDM8,minus,101944361,
NC_056657.1,647990,651915,LOC122173979,plus,122173979,
NC_056657.1,649128,650986,LOC122173981,minus,122173981,
NC_056657.1,666153,739387,LOC101946374,plus,101946374,
NC_056657.1,1433664,1469458,HS3ST2,plus,101942810,
NC_056657.1,1626857,1662661,USP31,minus,101946736,
NC_056657.1,1701030,1719891,SCNN1G,plus,101946998,
NC_056657.1,1769807,1796126,SCNN1B,plus,101947270,
NC_056657.1,1803909,1831888,COG7,minus,101947569,
NC_056657.1,1836933,1857191,GGA2,minus,101947833,
NC_056657.1,1862157,1873518,EARS2,minus,101948108,
NC_056657.1,1873520,1883333,UBFD1,plus,101948373,
NC_056657.1,1892691,1917740,ERN2,plus,101943085,
NC_056657.1,1920331,1930352,PLK1,minus,101943364,
NC_056657.1,1935278,1936418,LOC101948657,minus,101948657,
NC_056657.1,1965709,1983766,DCTN5,minus,101948939,
NC_056657.1,1974404,2001055,PALB2,plus,101949382,
NC_056657.1,2005585,2010360,NDUFAB1,plus,101949812,
NC_056657.1,2014617,2038367,LOC101950751,plus,101950751,
NC_056657.1,2038717,2202453,TNRC6A,minus,101950474,
NC_056657.1,2091852,2094517,LOC101950274,plus,101950274,
NC_056657.1,2212511,2223463,LOC122173983,plus,122173983,
NC_056657.1,2222669,2243264,LOC122173982,minus,122173982,
NC_056657.1,2260326,2300007,RBBP6,minus,101951040,
NC_056657.1,2396756,2405434,CACNG3,minus,101951305,
NC_056657.1,2478440,2732319,PRKCB,minus,101951581,
NC_056657.1,2791288,2809851,AQP8,minus,101943919,
NC_056657.1,2826522,2850172,LCMT1,minus,101952389,
NC_056657.1,2852404,2920676,ARHGAP17,plus,101952647,
NC_056657.1,2922951,2931538,TEX47,minus,101944177,
NC_056657.1,2935310,2953336,SLC5A11,minus,101953983,
NC_056657.1,2956317,3066600,LOC101931273,minus,101931273,
NC_056657.1,2968939,2971622,LOC122173984,plus,122173984,
NC_056657.1,3061011,3074843,ZDHHC4,plus,101930989,
NC_056657.1,3077802,3092933,E4F1,minus,101931555,
NC_056657.1,3093454,3098584,LOC101944442,plus,101944442,
NC_056657.1,3100808,3109816,BRICD5,plus,112059052,
NC_056657.1,3109963,3122977,MLST8,minus,101931836,
NC_056657.1,3128530,3162893,LOC101932119,plus,101932119,
NC_056657.1,3178989,3337964,CASKIN1,plus,101932407,
NC_056657.1,3342058,3385769,TRAF7,minus,101932666,
NC_056657.1,3386044,3387584,LOC101933302,plus,101933302,
NC_056657.1,3386897,3386979,LOC112059068,plus,112059068,
NC_056657.1,3387168,3387252,LOC112059067,plus,112059067,
NC_056657.1,3389330,3601524,RAB26,minus,101933491,
NC_056657.1,3644738,3790399,PKD1,plus,101933773,
NC_056657.1,3791315,3832270,TSC2,minus,101934665,
NC_056657.1,3835227,3849919,NTHL1,plus,101944981,
NC_056657.1,3851944,3945914,SLC9A3R2,minus,101934037,
NC_056657.1,3974764,3979170,NPW,minus,101945262,
NC_056657.1,4000706,4022551,ZNF598,plus,101936241,
NC_056657.1,4022553,4066285,SYNGR3,minus,101936519,
NC_056657.1,4084719,4089783,GFER,minus,101936786,
