"Genes, NCBI Petromyzon marinus Annotation Release 100, 2020-03-20",,,,,,
Accession,Start,Stop,Gene symbol,Strand,NCBI Gene ID,Name
NC_046105.1,16052,16124,TRNAV-CAC,minus,116949945,
NC_046105.1,26293,26365,TRNAV-CAC,minus,116949946,
NC_046105.1,36312,36384,TRNAV-CAC,minus,116949947,
NC_046105.1,36356,90052,FBF1,plus,116949568,
NC_046105.1,42957,47029,LOC116949569,minus,116949569,
NC_046105.1,90615,110648,MRPL38,minus,116949571,
NC_046105.1,110881,162993,RSAD1,plus,116949570,
NC_046105.1,206915,251298,LOC116949573,minus,116949573,
NC_046105.1,298913,355697,NAT9,minus,116949574,
NC_046105.1,355881,660584,TMEM104,plus,116949575,
NC_046105.1,473528,480256,LOC116949577,minus,116949577,
NC_046105.1,783457,907411,LOC116949578,minus,116949578,
NC_046105.1,1004126,1016341,LOC116949579,plus,116949579,
NC_046105.1,1152376,1154712,LOC116949581,plus,116949581,
NC_046105.1,1153870,1171924,LOC116949580,minus,116949580,
NC_046105.1,1180147,1203701,LOC116949582,plus,116949582,
NC_046105.1,1209748,1223072,LOC116949583,minus,116949583,
NC_046105.1,1228541,1240669,LOC116949584,plus,116949584,
NC_046105.1,1239056,1259705,LOC116949585,minus,116949585,
NC_046105.1,1262354,1269921,LOC116949588,minus,116949588,
NC_046105.1,1269923,1275151,NOL12,plus,116949589,
NC_046105.1,1274677,1365952,MYCBPAP,minus,116949587,
NC_046105.1,1397938,1412161,LOC116949590,plus,116949590,
NC_046105.1,1439208,1471761,LOC116949591,plus,116949591,
NC_046105.1,1488465,1502477,LOC116949593,minus,116949593,
NC_046105.1,1502350,1665083,LOC116949594,minus,116949594,
NC_046105.1,1685629,1695812,LOC116949595,minus,116949595,
NC_046105.1,1700709,1717659,LOC116949597,plus,116949597,
NC_046105.1,1712106,1713783,LOC116949599,plus,116949599,
NC_046105.1,1717812,1730005,LOC116949596,plus,116949596,
NC_046105.1,1730566,1756361,LOC116949600,minus,116949600,
NC_046105.1,1759054,1813124,ABCA3,minus,116949601,
NC_046105.1,1817107,1842598,CCNF,minus,116949488,
NC_046105.1,1866994,1898978,UBE2O,minus,116949602,
NC_046105.1,1909225,1931961,PDPK1,minus,116949603,
NC_046105.1,1932533,1962030,RAD54B,plus,116949604,
NC_046105.1,1963872,1979605,IFT57,plus,116949606,
NC_046105.1,1977678,1996456,AGK,minus,116949605,
NC_046105.1,2001059,2012096,LOC116949608,minus,116949608,
NC_046105.1,2030541,2052178,LOC116949609,minus,116949609,
NC_046105.1,2058448,2068741,LOC116949610,minus,116949610,
NC_046105.1,2071614,2081814,LOC116949611,plus,116949611,
NC_046105.1,2083407,2094602,LOC116949613,minus,116949613,
NC_046105.1,2099485,2119760,AP4M1,plus,116949614,
NC_046105.1,2119868,2133410,DECR2,minus,116949615,
NC_046105.1,2137967,2170492,CAPN15,plus,116949616,
NC_046105.1,2185103,2191768,LOC116949489,minus,116949489,
NC_046105.1,2196515,2233294,EVPL,minus,116949617,
NC_046105.1,2269063,2297208,LOC116949618,minus,116949618,
NC_046105.1,2304565,2418462,ITGB4,minus,116949619,
NC_046105.1,2422208,2434485,ALKBH3,minus,116949621,
NC_046105.1,2434721,2438295,PSMC2,plus,116949620,
NC_046105.1,2439728,2446818,LOC116949623,minus,116949623,
NC_046105.1,2447013,2459857,LOC116949622,plus,116949622,
NC_046105.1,2463035,2525417,STXBP4,plus,116949625,
NC_046105.1,2546638,2547118,LOC116949490,plus,116949490,
NC_046105.1,2547806,2549821,LOC116949491,plus,116949491,
NC_046105.1,2554572,2581757,RECQL5,minus,116949626,
NC_046105.1,2592189,2616938,LOC116949627,minus,116949627,
NC_046105.1,2619905,2638031,LOC116949628,plus,116949628,
NC_046105.1,2641055,2704106,LOC116949492,plus,116949492,
NC_046105.1,2704328,2717950,LOC116949493,plus,116949493,
NC_046105.1,2722775,2746115,LOC116949494,plus,116949494,
NC_046105.1,2745844,2790968,LOC116949629,minus,116949629,
NC_046105.1,2799201,2880466,LOC116949630,plus,116949630,
NC_046105.1,2887607,2913743,LOC116949631,minus,116949631,
NC_046105.1,2915243,2932721,LUC7L,plus,116949632,
NC_046105.1,2939740,2949489,LOC116949634,plus,116949634,
NC_046105.1,2950120,2983842,LOC116949633,minus,116949633,
NC_046105.1,2994050,3012769,LOC116949635,minus,116949635,
NC_046105.1,3027641,3036969,DXO,minus,116949637,
NC_046105.1,3082498,3110917,TEX47,plus,116949638,
NC_046105.1,3153918,3155772,LOC116949566,minus,116949566,
NC_046105.1,3167368,3218148,LOC116949639,minus,116949639,
NC_046105.1,3228243,3265672,TMEM94,minus,116949640,
NC_046105.1,3275832,3285485,LOC116949641,plus,116949641,
NC_046105.1,3292363,3297195,NDUFB10,plus,116949642,
NC_046105.1,3297274,3302910,RPS2,minus,103091852,
NC_046105.1,3306209,3306280,TRNAA-CGC,plus,116949763,
NC_046105.1,3307888,3307959,TRNAA-CGC,minus,116949948,
NC_046105.1,3308756,3308827,TRNAA-UGC,minus,116949950,
NC_046105.1,3309464,3309535,TRNAA-UGC,minus,116949951,
NC_046105.1,3310333,3310404,TRNAA-CGC,minus,116949953,
NC_046105.1,3310983,3311054,TRNAA-CGC,minus,116949954,
NC_046105.1,3311851,3311922,TRNAA-UGC,minus,116949955,
NC_046105.1,3312717,3312788,TRNAA-UGC,minus,116949956,
NC_046105.1,3314032,3314103,TRNAA-UGC,minus,116949957,
NC_046105.1,3314339,3314411,TRNAR-CCG,plus,116949878,
NC_046105.1,3314898,3314969,TRNAA-CGC,minus,116949958,
NC_046105.1,3315548,3315619,TRNAA-CGC,minus,116949959,
NC_046105.1,3316416,3316487,TRNAA-CGC,minus,116949960,
NC_046105.1,3317282,3317353,TRNAA-UGC,minus,116949961,
NC_046105.1,3317990,3318061,TRNAA-CGC,minus,116949962,
NC_046105.1,3318297,3318369,TRNAQ-CUG,plus,116949992,
NC_046105.1,3318844,3318915,TRNAA-CGC,minus,116949964,
