"Genes, NCBI Gallus gallus Annotation Release 105, 2021-04-11"
Accession,Start,Stop,Gene symbol,Strand,NCBI Gene ID,Name
NC_052545.1,18946,21259,LOC121106789,plus,121106789,
NC_052545.1,33163,34704,LOC112533352,minus,112533352,
NC_052545.1,34772,37372,LOC121106790,minus,121106790,
NC_052545.1,37434,38433,LOC121106791,minus,121106791,
NC_052545.1,52119,55327,LOC107054589,minus,107054589,
NC_052545.1,55348,82345,PDXDC1,plus,416413,
NC_052545.1,82598,90923,NTAN1,minus,768445,
NC_052545.1,90952,106428,RRN3,minus,416414,"RRN3 homolog, RNA polymerase I transcription factor"
NC_052545.1,106582,113973,LOC112533469,minus,112533469,
NC_052545.1,114181,121404,RSL1D1,minus,416416,ribosomal L1 domain containing 1
NC_052545.1,125136,151012,GSPT2,minus,768522,G1 to S phase transition 2
NC_052545.1,157771,249678,SNX29,plus,416417,
NC_052545.1,214444,250464,LOC112533455,minus,112533455,
NC_052545.1,247990,248637,LOC121106792,minus,121106792,
NC_052545.1,250446,491171,SHISA9,plus,416419,
NC_052545.1,274594,314025,CPPED1,minus,416418,calcineurin like phosphoesterase domain containing 1
NC_052545.1,352566,679426,LOC107054592,minus,107054592,
NC_052545.1,389780,395787,LOC121106793,plus,121106793,
NC_052545.1,445746,449300,LOC107054591,minus,107054591,
NC_052545.1,553886,555829,LOC121106794,minus,121106794,
NC_052545.1,679511,692334,ERCC4,plus,416420,"ERCC excision repair 4, endonuclease catalytic subunit"
NC_052545.1,688155,701995,LOC107054576,minus,107054576,
NC_052545.1,702189,766359,MKL2,plus,416421,
NC_052545.1,714594,716160,LOC107054578,minus,107054578,
NC_052545.1,770692,770801,MIR6686,plus,102466910,microRNA 6686
NC_052545.1,771124,798681,LOC121106759,plus,121106759,
NC_052545.1,771517,771588,TRNAT-CGU,plus,112533479,
NC_052545.1,775101,775183,MIR193B,plus,777896,microRNA 193b
NC_052545.1,779907,780016,MIR365B,minus,102465339,microRNA 365b
NC_052545.1,779919,780003,MIR365-1,plus,777901,microRNA 365-1
NC_052545.1,804624,839304,PARN,minus,416423,poly(A)-specific ribonuclease
NC_052545.1,839318,848676,BFAR,plus,416424,
NC_052545.1,849130,872937,PLA2G10,minus,416425,phospholipase A2 group X
NC_052545.1,869882,871574,LOC107054574,plus,107054574,
NC_052545.1,873069,898708,ZC3H7A,plus,416426,
NC_052545.1,899735,920611,TXNDC11,plus,416428,
NC_052545.1,920875,925650,SNN,minus,416429,stannin
NC_052545.1,926032,945256,LITAF,plus,374125,lipopolysaccharide induced TNF factor
NC_052545.1,931931,936795,LOC101751635,minus,101751635,
NC_052545.1,951596,970932,USP42,minus,416431,
NC_052545.1,969591,987262,EIF2AK1,plus,395360,eukaryotic translation initiation factor 2 alpha kinase 1
NC_052545.1,982826,984867,ANKRD61,minus,101752127,
NC_052545.1,987449,989920,AIMP2,minus,769030,
NC_052545.1,990034,1002120,PMS2,plus,101752182,"PMS1 homolog 2, mismatch repair system component"
NC_052545.1,1002523,1023569,RSPH10B,plus,100859701,
NC_052545.1,1016239,1030071,CCZ1,minus,416433,CCZ1 vacuolar protein trafficking and biogenesis associated homolog (S. cerevisiae)
NC_052545.1,1030142,1073263,LOC112533467,plus,112533467,
NC_052545.1,1033517,1037076,OCM1,minus,386586,oncomodulin 1
NC_052545.1,1042891,1046041,OCM4,minus,427654,
NC_052545.1,1051825,1056712,OCM3,minus,396531,oncomodulin 3
NC_052545.1,1079307,1081430,LOC112533468,minus,112533468,
NC_052545.1,1081308,1119367,LMTK2,plus,769200,
NC_052545.1,1119291,1119791,BHLHA15,plus,107049029,
NC_052545.1,1121950,1144726,TECPR1,minus,416436,
NC_052545.1,1146202,1158165,BRI3,plus,427655,
NC_052545.1,1159571,1194240,BAIAP2L1,minus,416437,BAI1 associated protein 2 like 1
NC_052545.1,1167848,1191868,LOC107054575,plus,107054575,
NC_052545.1,1236736,1247215,NPTX2,plus,416438,
NC_052545.1,1319846,1329219,TMEM130,minus,416439,
NC_052545.1,1325902,1404389,TRRAP,plus,416440,
NC_052545.1,1329143,1329748,LOC121106760,minus,121106760,
NC_052545.1,1408796,1603805,LOC121106796,plus,121106796,
NC_052545.1,1458295,1460050,LOC101748693,minus,101748693,
NC_052545.1,1588366,1737181,LOC121106795,minus,121106795,
NC_052545.1,1737294,1790838,FAM20C,plus,416445,
NC_052545.1,1770868,1786541,LOC112533451,minus,112533451,
NC_052545.1,1813135,1817272,LOC427656,plus,427656,
NC_052545.1,1819127,1912533,LOC101748820,minus,101748820,
NC_052545.1,1998800,2019762,PDGFA,minus,374196,platelet derived growth factor subunit A
NC_052545.1,2022519,2025718,LOC121106828,plus,121106828,
NC_052545.1,2039210,2127772,PRKAR1B,minus,416446,
NC_052545.1,2115967,2119603,LOC121106829,plus,121106829,
NC_052545.1,2127807,2148214,DNAAF5,plus,416447,
NC_052545.1,2150559,2182637,SUN1,plus,416449,
NC_052545.1,2182826,2192370,GET4,plus,416450,golgi to ER traffic protein 4
NC_052545.1,2193230,2232531,ADAP1,minus,416451,
NC_052545.1,2242177,2244157,COX19,minus,416452,"COX19, cytochrome c oxidase assembly factor"
NC_052545.1,2245187,2282453,CYP2W2,minus,416454,
NC_052545.1,2250142,2256214,CYP2AC7,plus,427657,"cytochrome P450, family 2, subfamily AC, polypeptide 7"
NC_052545.1,2257315,2267672,CYP2W1,plus,416453,
NC_052545.1,2283309,2379138,C7orf50,minus,416455,
NC_052545.1,2291976,2299033,LOC121106830,plus,121106830,
NC_052545.1,2307356,2343238,GPR146,plus,416456,G protein-coupled receptor 146
NC_052545.1,2348963,2370226,GPER1,plus,416457,G protein-coupled estrogen receptor 1
NC_052545.1,2380656,2383773,ZFAND2A,minus,425104,
NC_052545.1,2405804,2410144,UNCX,plus,416458,
NC_052545.1,2458458,2460176,LOC101750340,plus,101750340,
