"Genes, NCBI Canis lupus familiaris Annotation Release 106, 2021-01-10"
Accession,Start,Stop,Gene symbol,Strand,NCBI Gene ID,Name
NC_051813.1,105723,116830,METRNL,minus,608424,
NC_051813.1,117783,121738,LOC119873200,plus,119873200,
NC_051813.1,123866,127848,LOC119873201,plus,119873201,
NC_051813.1,128398,131023,LOC119873399,plus,119873399,
NC_051813.1,136563,185638,B3GNTL1,plus,608396,
NC_051813.1,184414,324333,TBCD,minus,491683,
NC_051813.1,268566,280803,ZNF750,plus,608362,
NC_051813.1,295064,296471,LOC102154805,plus,102154805,
NC_051813.1,325704,334583,FN3K,minus,608337,
NC_051813.1,336860,342261,FN3KRP,minus,480821,fructosamine 3 kinase related protein
NC_051813.1,351762,371277,RAB40B,plus,608295,
NC_051813.1,360128,377507,LOC102154540,minus,102154540,
NC_051813.1,376461,417524,WDR45B,plus,480820,
NC_051813.1,415405,488161,FOXK2,minus,491681,
NC_051813.1,503015,503086,TRNAM-CAU,plus,111094984,
NC_051813.1,503184,503255,TRNAQ-CUG,plus,111094983,
NC_051813.1,503365,503436,TRNAQ-CUG,plus,119873551,
NC_051813.1,505739,524194,NARF,minus,480819,
NC_051813.1,526973,530494,LOC119873202,minus,119873202,
NC_051813.1,530550,535507,CYBC1,plus,608239,
NC_051813.1,535501,552235,HEXD,minus,491680,
NC_051813.1,552375,570832,OGFOD3,plus,608209,
NC_051813.1,557409,561945,LOC111094981,minus,111094981,
NC_051813.1,579205,580800,UTS2R,minus,491678,
NC_051813.1,624146,637691,SECTM1,plus,102152928,
NC_051813.1,638953,641804,CD7,plus,607675,
NC_051813.1,670196,704640,CSNK1D,plus,475928,
NC_051813.1,704211,715519,SLC16A3,minus,483379,
NC_051813.1,721811,823622,CCDC57,plus,607741,
NC_051813.1,797735,830225,LOC119873203,minus,119873203,
NC_051813.1,826552,843813,FASN,plus,483378,
NC_051813.1,850263,855675,DUS1L,plus,475927,
NC_051813.1,855858,860727,GPS1,minus,483377,
NC_051813.1,860786,864644,RFNG,plus,483376,
NC_051813.1,871012,880441,LOC102154270,minus,102154270,
NC_051813.1,878283,880678,LOC607806,plus,607806,
NC_051813.1,882891,884926,DCXR,plus,475926,
NC_051813.1,886672,888830,RAC3,minus,106559217,
NC_051813.1,889283,896968,LRRC45,minus,483375,
NC_051813.1,897143,900493,CENPX,plus,119873204,
NC_051813.1,901494,924573,ASPSCR1,minus,475925,
NC_051813.1,938019,944016,NOTUM,plus,483374,
NC_051813.1,949141,951220,MYADML2,plus,483373,
NC_051813.1,953687,958114,PYCR1,plus,483372,
NC_051813.1,961543,967144,MAFG,plus,607914,
NC_051813.1,963221,964700,LOC119873206,minus,119873206,
NC_051813.1,970474,976673,SIRT7,plus,483371,
NC_051813.1,975265,976783,LOC119873205,minus,119873205,
NC_051813.1,977032,983475,PCYT2,plus,607608,
NC_051813.1,984997,985686,NPB,minus,100855442,
NC_051813.1,987263,992302,ANAPC11,minus,483370,
NC_051813.1,992434,996142,ALYREF,plus,607948,
NC_051813.1,1012711,1015586,ARHGDIA,plus,475924,
NC_051813.1,1016986,1021047,LOC119873207,minus,119873207,
NC_051813.1,1021195,1030242,P4HB,plus,483369,
NC_051813.1,1034989,1036158,PPP1R27,plus,608003,
NC_051813.1,1036523,1045104,MCRIP1,plus,608012,
NC_051813.1,1048891,1056220,GCGR,minus,483368,
NC_051813.1,1077336,1085083,SLC25A10,minus,100855592,
NC_051813.1,1087000,1091703,MRPL12,minus,608030,
NC_051813.1,1092550,1106872,HGS,minus,483367,hepatocyte growth factor-regulated tyrosine kinase substrate
NC_051813.1,1106983,1109264,ARL16,plus,483366,
NC_051813.1,1111109,1116235,CCDC137,minus,608071,
NC_051813.1,1116337,1117560,OXLD1,plus,483365,
NC_051813.1,1120090,1122902,PDE6G,plus,403911,phosphodiesterase 6G
NC_051813.1,1124037,1126357,TSPAN10,minus,483364,
NC_051813.1,1133445,1199269,NPLOC4,plus,483363,
NC_051813.1,1146775,1148411,NPW,minus,111097554,
NC_051813.1,1201468,1210194,FAAP100,plus,608134,
NC_051813.1,1210196,1216414,FSCN2,minus,483362,
NC_051813.1,1224397,1226340,LOC111097269,plus,111097269,
NC_051813.1,1226140,1227440,LOC102157223,minus,102157223,
NC_051813.1,1229608,1232436,ACTG1,plus,475923,actin gamma 1
NC_051813.1,1273398,1329261,BAHCC1,minus,102157362,
NC_051813.1,1374320,1375988,LOC102151164,minus,102151164,
NC_051813.1,1417051,1456747,SLC38A10,plus,483360,
NC_051813.1,1458628,1460712,NDUFAF8,minus,100688960,
NC_051813.1,1460922,1469066,TEPSIN,plus,608257,
NC_051813.1,1474827,1489314,CEP131,plus,483359,
NC_051813.1,1494194,1499616,PVALEF,minus,119873400,
NC_051813.1,1504971,1532271,AATK,plus,483358,
NC_051813.1,1524238,1524296,MIR338,plus,100885961,microRNA mir-338
NC_051813.1,1533041,1592186,BAIAP2,minus,403473,
NC_051813.1,1592677,1595447,LOC119873208,plus,119873208,
NC_051813.1,1607437,1613332,CHMP6,minus,608361,
NC_051813.1,1620874,1622123,LOC119873390,plus,119873390,
NC_051813.1,1621864,1955230,RPTOR,minus,608378,
NC_051813.1,1666550,1669412,LOC119873209,plus,119873209,
NC_051813.1,1763378,1765861,LOC111097270,plus,111097270,
NC_051813.1,1880870,1890234,LOC106559229,plus,106559229,
NC_051813.1,1933478,1933613,LOC119873528,plus,119873528,
NC_051813.1,1953832,1959106,LOC119880066,plus,119880066,
NC_051813.1,1983703,1987561,LOC119873391,minus,119873391,
NC_051813.1,1987622,1990738,LOC119863936,plus,119863936,
NC_051813.1,1990729,1992193,LOC102152004,plus,102152004,
NC_051813.1,1990922,1996431,LOC119873210,minus,119873210,
NC_051813.1,1998099,2007496,NPTX1,plus,483356,
NC_051813.1,2028018,2046037,ENDOV,minus,608430,
NC_051813.1,2046205,2048472,LOC111097271,plus,111097271,
NC_051813.1,2048400,2146573,RNF213,minus,483355,
NC_051813.1,2155371,2173145,SLC26A11,minus,483354,
NC_051813.1,2173239,2179357,SGSH,plus,403707,N-sulfoglucosamine sulfohydrolase
NC_051813.1,2179981,2208232,CARD14,minus,483353,
NC_051813.1,2215271,2226216,EIF4A3,plus,475922,
NC_051813.1,2230944,2232185,LOC100683147,minus,100683147,
NC_051813.1,2233266,2247757,GAA,minus,483352,
NC_051813.1,2248199,2288210,CCDC40,minus,483351,
NC_051813.1,2288208,2365455,TBC1D16,plus,483350,
NC_051813.1,2367586,2376636,LOC119873401,minus,119873401,
NC_051813.1,2385511,2391419,LOC111097518,plus,111097518,
NC_051813.1,2421136,2423778,LOC119873392,plus,119873392,
NC_051813.1,2433610,2439872,CBX4,plus,608556,
NC_051813.1,2475300,2477946,CBX8,plus,608591,
NC_051813.1,2485745,2492274,CBX2,minus,483349,
NC_051813.1,2508370,2514544,LOC100683664,minus,100683664,
NC_051813.1,2522957,2530442,ENPP7,minus,608627,
NC_051813.1,2532573,2538480,LOC111097273,plus,111097273,
NC_051813.1,2556678,2569449,LOC111097274,plus,111097274,
NC_051813.1,2577342,3023588,RBFOX3,plus,608803,
NC_051813.1,2578591,2583312,LOC111097277,minus,111097277,
NC_051813.1,2827371,2830426,LOC119873211,minus,119873211,
NC_051813.1,2878295,2885065,LOC111097275,minus,111097275,
NC_051813.1,3024221,3027287,LOC119873393,plus,119873393,
NC_051813.1,3027415,3036820,ENGASE,minus,483347,
NC_051813.1,3051068,3072567,C1QTNF1,minus,102154272,
NC_051813.1,3080257,3112283,CANT1,plus,483345,
NC_051813.1,3118646,3121209,LOC102153844,minus,102153844,
NC_051813.1,3121220,3126369,LOC111097510,plus,111097510,
NC_051813.1,3140666,3188540,TIMP2,plus,403633,TIMP metallopeptidase inhibitor 2
NC_051813.1,3198025,3238153,USP36,plus,483344,
NC_051813.1,3250463,3328274,CYTH1,plus,608079,
NC_051813.1,3364204,3460013,DNAH17,plus,475921,
