"Genes, NCBI Danio rerio Annotation Release 106, 2017-06-26",,,,,,
Accession,Start,Stop,Gene symbol,Strand,NCBI Gene ID,Name
NC_007114.7,5503,6418,LOC101885376,minus,101885376,
NC_007114.7,12976,33945,zgc:110249,minus,553601,zgc:110249
NC_007114.7,40211,45995,wu:fd06e11,minus,103908661,
NC_007114.7,55336,88961,LOC100537032,minus,100537032,
NC_007114.7,66842,79366,zgc:165518,minus,100101650,zgc:165518
NC_007114.7,86991,146228,LOC100537082,minus,100537082,
NC_007114.7,100149,111427,LOC101885586,minus,101885586,
NC_007114.7,130759,136120,LOC792627,minus,792627,
NC_007114.7,146118,147449,LOC108179097,minus,108179097,
NC_007114.7,155679,159558,LOC100332986,plus,100332986,
NC_007114.7,163240,180635,kdelr3,minus,393613,KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 3
NC_007114.7,197411,214680,kcnj4,minus,100331864,
NC_007114.7,240732,250145,zgc:174288,plus,100126137,zgc:174288
NC_007114.7,281708,293907,LOC101885714,minus,101885714,
NC_007114.7,297866,304416,LOC100537437,plus,100537437,
NC_007114.7,311342,313286,LOC100537396,plus,100537396,
NC_007114.7,327506,336299,mhc1zfa,minus,102467220,major histocompatibility complex class I ZFA
NC_007114.7,345976,367536,LOC563036,minus,563036,
NC_007114.7,376463,402940,mhc1zja,minus,571647,major histocompatibility complex class I ZJA
NC_007114.7,411878,419872,LOC110438853,plus,110438853,
NC_007114.7,420335,422855,LOC101882242,plus,101882242,
NC_007114.7,431242,442159,si:dkey-167k11.5,plus,571638,
NC_007114.7,441922,454166,si:ch73-308m11.1,plus,100149441,
NC_007114.7,464068,471393,dicp1.1,plus,100007383,
NC_007114.7,472181,474964,zgc:194659,plus,100007373,zgc:194659
NC_007114.7,494808,506280,LOC103910168,minus,103910168,
NC_007114.7,550173,558178,LOC110437750,minus,110437750,
NC_007114.7,562111,572209,LOC103910169,minus,103910169,
NC_007114.7,576519,585671,dicp1.5-6,minus,100884133,
NC_007114.7,597248,608790,dicp1.7,plus,100884151,diverse immunoglobulin domain-containing protein 1.7
NC_007114.7,612417,622275,LOC110438862,plus,110438862,
NC_007114.7,626255,631013,LOC110438870,plus,110438870,
NC_007114.7,650191,654195,LOC100007258,minus,100007258,
NC_007114.7,661403,664558,LOC108182910,minus,108182910,
NC_007114.7,666114,671230,LOC103910163,minus,103910163,
NC_007114.7,688209,697540,LOC103910162,minus,103910162,
NC_007114.7,709410,722535,LOC100535743,plus,100535743,
NC_007114.7,725531,738024,dicp1.17,plus,100884154,diverse immunoglobulin domain-containing protein 1.17
NC_007114.7,749462,753797,LOC100007229,plus,100007229,
NC_007114.7,764219,774214,dicp1.19,plus,103910170,
NC_007114.7,804274,805471,LOC108182761,plus,108182761,
NC_007114.7,815386,816830,LOC100334508,plus,100334508,
NC_007114.7,822988,830546,si:ch73-166o21.1,plus,100006932,
NC_007114.7,831538,835876,LOC101882750,plus,101882750,
NC_007114.7,837558,838631,LOC108182922,plus,108182922,
NC_007114.7,847495,861733,LOC562960,plus,562960,
NC_007114.7,866309,872237,LOC101882698,plus,101882698,
NC_007114.7,925344,931724,LOC110438686,plus,110438686,
NC_007114.7,938322,944042,irgf4,plus,767672,
NC_007114.7,966087,979211,LOC110438783,plus,110438783,
NC_007114.7,987384,988055,LOC100535033,plus,100535033,
NC_007114.7,996611,1001227,LOC100331338,minus,100331338,
NC_007114.7,1004987,1012777,zgc:172051,plus,100007431,zgc:172051
NC_007114.7,1015848,1026380,LOC108179091,plus,108179091,
NC_007114.7,1030455,1036549,zgc:172253,plus,100007732,zgc:172253
NC_007114.7,1037713,1045316,zgc:153921,plus,791500,zgc:153921
NC_007114.7,1055461,1061728,LOC100007703,plus,100007703,uncharacterized LOC100007703
NC_007114.7,1096804,1106317,si:ch1073-322p19.1,plus,407660,
NC_007114.7,1107102,1130892,srebf2,plus,100037309,sterol regulatory element binding transcription factor 2
NC_007114.7,1132901,1146547,LOC100005990,minus,100005990,
NC_007114.7,1150376,1156033,nol12,plus,393260,nucleolar protein 12
NC_007114.7,1161557,1166300,LOC108182762,plus,108182762,
NC_007114.7,1167031,1180520,triobpb,plus,790927,TRIO and F-actin binding protein b
NC_007114.7,1182315,1185736,ndufa6,plus,393943,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 6"
NC_007114.7,1191370,1204421,fam234b,minus,324587,"family with sequence similarity 234, member B"
NC_007114.7,1208955,1218416,poldip3,plus,100536140,
NC_007114.7,1219396,1222249,rrp7a,plus,550241,ribosomal RNA processing 7 homolog A
NC_007114.7,1223824,1228130,wbp2nl,plus,325287,WBP2 N-terminal like
NC_007114.7,1229914,1232460,si:ch1073-314i13.4,minus,100330660,
NC_007114.7,1235036,1244605,LOC103910166,plus,103910166,
NC_007114.7,1260350,1283373,tcf20,minus,100006417,
NC_007114.7,1301985,1313632,LOC110438919,minus,110438919,
NC_007114.7,1314264,1322858,LOC100334883,minus,100334883,
NC_007114.7,1323730,1339228,tmem106c,minus,768153,transmembrane protein 106C
NC_007114.7,1341311,1352576,LOC103910167,minus,103910167,
NC_007114.7,1362515,1376649,LOC110438926,minus,110438926,
NC_007114.7,1372081,1374720,LOC110438934,plus,110438934,
NC_007114.7,1378098,1388953,ddx47,minus,553715,DEAD (Asp-Glu-Ala-Asp) box polypeptide 47
NC_007114.7,1395484,1402828,wbp11,minus,110437720,
NC_007114.7,1405504,1408487,bglap,minus,792433,bone gamma-carboxyglutamate (gla) protein
NC_007114.7,1411163,1435571,LOC108182912,plus,108182912,
NC_007114.7,1414870,1434135,mgp,minus,402937,matrix Gla protein
NC_007114.7,1435588,1447805,LOC108182916,plus,108182916,
NC_007114.7,1435939,1438232,LOC110438935,plus,110438935,
NC_007114.7,1492174,1501252,sox10,plus,140616,SRY (sex determining region Y)-box 10
NC_007114.7,1511199,1520653,polr2f,minus,436817,polymerase (RNA) II (DNA directed) polypeptide F
NC_007114.7,1529567,1546909,LOC110438610,plus,110438610,
NC_007114.7,1546928,1548332,LOC110438930,plus,110438930,
NC_007114.7,1554302,1563741,LOC100004932,plus,100004932,
NC_007114.7,1566080,1588149,LOC100151285,plus,100151285,
NC_007114.7,1589608,1598985,LOC108179175,plus,108179175,
NC_007114.7,1599072,1626578,LOC108182764,plus,108182764,
NC_007114.7,1630337,1639951,LOC100333355,plus,100333355,
NC_007114.7,1665602,1674938,LOC108179174,plus,108179174,
NC_007114.7,1681211,1684603,LOC100005323,plus,100005323,
NC_007114.7,1698315,1706032,LOC560278,plus,560278,
NC_007114.7,1714318,1717274,LOC110438928,plus,110438928,
NC_007114.7,1724939,1725931,LOC110438933,plus,110438933,
NC_007114.7,1728591,1736762,LOC100005640,plus,100005640,
NC_007114.7,1743130,1745172,LOC101882869,plus,101882869,
NC_007114.7,1749903,1775902,LOC100331400,plus,100331400,
NC_007114.7,1775899,1776578,LOC108182785,plus,108182785,
NC_007114.7,1782823,1804138,LOC100331609,plus,100331609,
NC_007114.7,1806455,1817580,LOC108182766,plus,108182766,
NC_007114.7,1817777,1822765,LOC569612,plus,569612,
NC_007114.7,1825611,1832564,LOC100331751,plus,100331751,
NC_007114.7,1832622,1835682,LOC101883001,plus,101883001,
NC_007114.7,1842608,1859187,si:ch211-254c8.2,minus,100331822,
NC_007114.7,1862878,1866240,LOC103910179,minus,103910179,
NC_007114.7,1866822,1875857,LOC100005864,minus,100005864,
NC_007114.7,1879666,1888213,LOC100005907,minus,100005907,
NC_007114.7,1895523,1906976,zgc:101806,minus,450029,zgc:101806
NC_007114.7,1934495,1938588,zgc:152753,minus,553486,zgc:152753
NC_007114.7,1942551,1943634,zgc:165583,plus,100073338,zgc:165583
NC_007114.7,1959478,1970840,si:ch211-254c8.3,minus,100006139,
NC_007114.7,1980251,1995244,LOC100006177,minus,100006177,
NC_007114.7,2009861,2033119,si:dkey-88j15.3,minus,560795,
NC_007114.7,2083852,2085077,LOC110438792,minus,110438792,
NC_007114.7,2103100,2115887,LOC560949,minus,560949,
NC_007114.7,2116080,2139968,LOC565905,minus,565905,
NC_007114.7,2143314,2165705,LOC100534780,minus,100534780,
NC_007114.7,2194456,2195891,LOC103911705,minus,103911705,
