"Genes, NCBI Canis lupus familiaris Annotation Release 106, 2021-01-10"
Accession,Start,Stop,Gene symbol,Strand,NCBI Gene ID,Name
NC_051810.1,101781,120114,LOC106558875,minus,106558875,
NC_051810.1,132055,186843,ZNF713,minus,606818,
NC_051810.1,200267,200396,LOC119872419,plus,119872419,
NC_051810.1,210962,212239,LOC111096170,minus,111096170,
NC_051810.1,216101,218468,LOC100688077,plus,100688077,
NC_051810.1,222997,241233,LOC119881535,plus,119881535,
NC_051810.1,248600,250948,MRPS17,plus,119881497,
NC_051810.1,255334,288887,NIPSNAP2,plus,479700,
NC_051810.1,278826,281637,LOC119872129,minus,119872129,
NC_051810.1,296475,349789,PSPH,minus,489783,
NC_051810.1,349896,360647,CCT6A,plus,606787,
NC_051810.1,353105,353238,LOC119872417,plus,119872417,
NC_051810.1,357007,357146,LOC119872416,plus,119872416,
NC_051810.1,361425,372393,SUMF2,plus,479701,
NC_051810.1,369389,381583,PHKG1,minus,489784,
NC_051810.1,385111,389203,CHCHD2,minus,479702,
NC_051810.1,389215,390398,LOC102152588,plus,102152588,
NC_051810.1,393719,394586,NUPR2,minus,606880,
NC_051810.1,414586,419551,LOC100688452,minus,100688452,
NC_051810.1,459175,459331,LOC119872432,minus,119872432,
NC_051810.1,467059,534229,VKORC1L1,plus,606915,
NC_051810.1,477765,478986,LOC102152698,minus,102152698,
NC_051810.1,535764,548724,GUSB,minus,403831,glucuronidase beta
NC_051810.1,557966,558627,LOC100688742,minus,100688742,
NC_051810.1,570779,571149,LOC119872315,minus,119872315,
NC_051810.1,573409,584014,ASL,minus,479704,
NC_051810.1,599865,600521,LOC106558867,minus,106558867,
NC_051810.1,611479,646826,CRCP,plus,479705,
NC_051810.1,635931,638721,LOC102153077,plus,102153077,
NC_051810.1,713770,855612,TPST1,plus,489788,
NC_051810.1,763191,767673,LOC119872130,minus,119872130,
NC_051810.1,831192,832165,LOC106558866,minus,106558866,
NC_051810.1,867715,869393,LOC102153374,minus,102153374,
NC_051810.1,869955,896567,KCTD7,plus,119872131,
NC_051810.1,896809,965086,RABGEF1,plus,479706,
NC_051810.1,939639,945936,LOC111096541,plus,111096541,
NC_051810.1,984258,988954,LOC119872132,plus,119872132,
NC_051810.1,995022,1028185,TMEM248,plus,479707,
NC_051810.1,1061193,1067977,SBDS,minus,607017,
NC_051810.1,1068769,1314298,LOC479708,plus,479708,
NC_051810.1,1211820,1211917,LOC119872394,minus,119872394,
NC_051810.1,1244507,1244613,LOC119872451,plus,119872451,
NC_051810.1,1356619,1878362,CALN1,plus,607123,
NC_051810.1,1397683,1409191,LOC111096176,plus,111096176,
NC_051810.1,1623374,1623847,LOC102154109,plus,102154109,
NC_051810.1,1628187,1628270,LOC119876401,minus,119876401,
NC_051810.1,1695996,1710712,LOC111096175,minus,111096175,
NC_051810.1,1737997,1738117,LOC119872445,plus,119872445,
NC_051810.1,1870045,1886888,LOC119872133,minus,119872133,
NC_051810.1,1938385,2381618,GALNT17,minus,489790,
NC_051810.1,2471948,2492198,LOC119872316,minus,119872316,
NC_051810.1,2526340,2528707,LOC119872317,minus,119872317,
NC_051810.1,2564894,3693933,AUTS2,minus,479709,
NC_051810.1,2654690,2674904,LOC102154710,plus,102154710,
NC_051810.1,2680315,2690828,LOC119872134,plus,119872134,
NC_051810.1,2743611,2755026,LOC111096182,plus,111096182,
NC_051810.1,2920818,2923321,LOC111096181,plus,111096181,
NC_051810.1,3105779,3105921,LOC119872443,plus,119872443,
NC_051810.1,3432804,3502519,LOC111096179,minus,111096179,
NC_051810.1,3694175,3695908,LOC119881536,plus,119881536,
NC_051810.1,3765880,3765998,LOC119872440,minus,119872440,
NC_051810.1,3782540,3783523,LOC111096481,minus,111096481,
NC_051810.1,3838249,3838353,LOC119872466,plus,119872466,
NC_051810.1,3881978,3910160,LOC102155051,plus,102155051,
NC_051810.1,3891369,3893496,LOC119872135,minus,119872135,
NC_051810.1,4099216,4135847,LOC102155153,minus,102155153,
NC_051810.1,4135915,4137388,LOC111096184,plus,111096184,
NC_051810.1,4168984,4181459,LOC111096186,minus,111096186,
NC_051810.1,4214085,4215415,LOC119872319,minus,119872319,
NC_051810.1,4220366,4225868,LOC111096482,plus,111096482,
NC_051810.1,4311725,4336446,LOC102155199,minus,102155199,
NC_051810.1,4496854,4556496,LOC111096187,minus,111096187,
NC_051810.1,4556606,4562779,LOC106558872,plus,106558872,
NC_051810.1,4676919,4736458,LOC111096190,plus,111096190,
NC_051810.1,4717106,4771471,LOC111096189,minus,111096189,
NC_051810.1,4815410,4817513,LOC111096483,plus,111096483,
NC_051810.1,5189076,5197650,LOC111096484,plus,111096484,
NC_051810.1,5364915,5419601,CASTOR2,plus,607629,
NC_051810.1,5422123,5449097,RCC1L,minus,489793,
NC_051810.1,5451482,5452134,LOC100682844,minus,100682844,
NC_051810.1,5452172,5518908,LOC607692,plus,607692,
NC_051810.1,5468018,5468124,LOC119872393,plus,119872393,
NC_051810.1,5518899,5536384,NCF1,minus,607700,
NC_051810.1,5536488,5540662,LOC119881500,plus,119881500,
