"Genes, NCBI Anolis carolinensis Annotation Release 102, 2016-05-31"
Accession,Start,Stop,Gene symbol,Strand,NCBI Gene ID,Name
NW_003338876.1,11153,12120,LOC103280222,plus,103280222,
NW_003338876.1,130332,139746,kdelr1,plus,100556921,
NW_003338876.1,140386,160584,syngr4,minus,100557116,
NW_003338876.1,161220,172311,tmem143,plus,100559086,
NW_003338876.1,181659,203166,emp3,minus,100557444,
NW_003338876.1,213725,255058,ccdc114,plus,100559284,
NW_003338876.1,280589,283442,myadm,plus,100559484,
NW_003338876.1,308939,324730,LOC100557974,minus,100557974,
NW_003338876.1,327682,400035,prkcg,plus,100559682,
NW_003338876.1,341589,346992,LOC103280215,plus,103280215,
NW_003338876.1,414542,446989,cacng6,minus,100559883,
NW_003338876.1,452660,491720,cacng8,minus,103280216,
NW_003338876.1,515766,542541,cacng7,minus,100558169,
NW_003338876.1,597319,605412,LOC100560082,plus,100560082,
NW_003338876.1,607814,614953,rps9,minus,100558366,
NW_003338876.1,623354,660639,lmtk3,plus,100560280,
NW_003338876.1,661287,698047,LOC100560478,minus,100560478,
NW_003338876.1,715256,723864,LOC100560675,plus,100560675,
NW_003338876.1,724579,741522,LOC100560873,plus,100560873,
NW_003338876.1,744927,764902,cyth2,minus,100561070,
NW_003338876.1,775414,779471,kcnj14,minus,100561267,
NW_003338876.1,805423,829923,LOC103280217,plus,103280217,
NW_003338876.1,833950,838037,LOC103280223,plus,103280223,
NW_003338876.1,840234,845514,LOC103280218,plus,103280218,
NW_003338876.1,852894,859415,fut2,minus,100561462,
NW_003338876.1,871177,895847,tnnt1,plus,100558563,
NW_003338876.1,922923,970742,ppp1r12c,plus,100561659,
NW_003338876.1,970817,1016016,eps8l1,plus,100561849,
NW_003338876.1,1056371,1068083,cdc42ep5,plus,103280219,
NW_003338876.1,1078881,1084387,leng9,plus,100562044,
NW_003338876.1,1086156,1106468,leng8,minus,100562244,
NW_003338876.1,1109964,1178606,ttyh1,minus,100562447,
NW_003338876.1,1197969,1206550,LOC100558890,plus,100558890,
NW_003338876.1,1223724,1225390,LOC100562642,plus,100562642,
NW_003338876.1,1229355,1239066,LOC103280220,plus,103280220,
NW_003338876.1,1246498,1262266,LOC100562840,minus,100562840,
NW_003338876.1,1276621,1285538,tmem150b,plus,100563040,
NW_003338876.1,1286750,1289506,LOC103280221,minus,103280221,
NW_003338876.1,1289532,1355266,brsk1,minus,100563238,
